DATE,GS1,GS5,GS10,DFII5,DFII10,USREC
1988-01-01,6.99,8.18,8.67,,,0
1988-02-01,6.64,7.71,8.21,,,0
1988-03-01,6.71,7.83,8.37,,,0
1988-04-01,7.01,8.19,8.72,,,0
1988-05-01,7.4,8.58,9.09,,,0
1988-06-01,7.49,8.49,8.92,,,0
1988-07-01,7.75,8.66,9.06,,,0
1988-08-01,8.17,8.94,9.26,,,0
1988-09-01,8.09,8.69,8.98,,,0
1988-10-01,8.11,8.51,8.8,,,0
1988-11-01,8.48,8.79,8.96,,,0
1988-12-01,8.99,9.09,9.11,,,0
1989-01-01,9.05,9.15,9.09,,,0
1989-02-01,9.25,9.27,9.17,,,0
1989-03-01,9.57,9.51,9.36,,,0
1989-04-01,9.36,9.3,9.18,,,0
1989-05-01,8.98,8.91,8.86,,,0
1989-06-01,8.44,8.29,8.28,,,0
1989-07-01,7.89,7.83,8.02,,,0
1989-08-01,8.18,8.09,8.11,,,0
1989-09-01,8.22,8.17,8.19,,,0
1989-10-01,7.99,7.97,8.01,,,0
1989-11-01,7.77,7.81,7.87,,,0
1989-12-01,7.72,7.75,7.84,,,0
1990-01-01,7.92,8.12,8.21,,,0
1990-02-01,8.11,8.42,8.47,,,0
1990-03-01,8.35,8.6,8.59,,,0
1990-04-01,8.4,8.77,8.79,,,0
1990-05-01,8.32,8.74,8.76,,,0
1990-06-01,8.1,8.43,8.48,,,0
1990-07-01,7.94,8.33,8.47,,,0
1990-08-01,7.78,8.44,8.75,,,1
1990-09-01,7.76,8.51,8.89,,,1
1990-10-01,7.55,8.33,8.72,,,1
1990-11-01,7.31,8.02,8.39,,,1
1990-12-01,7.05,7.73,8.08,,,1
1991-01-01,6.64,7.7,8.09,,,1
1991-02-01,6.27,7.47,7.85,,,1
1991-03-01,6.4,7.77,8.11,,,1
1991-04-01,6.24,7.7,8.04,,,0
1991-05-01,6.13,7.7,8.07,,,0
1991-06-01,6.36,7.94,8.28,,,0
1991-07-01,6.31,7.91,8.27,,,0
1991-08-01,5.78,7.43,7.9,,,0
1991-09-01,5.57,7.14,7.65,,,0
1991-10-01,5.33,6.87,7.53,,,0
1991-11-01,4.89,6.62,7.42,,,0
1991-12-01,4.38,6.19,7.09,,,0
1992-01-01,4.15,6.24,7.03,,,0
1992-02-01,4.29,6.58,7.34,,,0
1992-03-01,4.63,6.95,7.54,,,0
1992-04-01,4.3,6.78,7.48,,,0
1992-05-01,4.19,6.69,7.39,,,0
1992-06-01,4.17,6.48,7.26,,,0
1992-07-01,3.6,5.84,6.84,,,0
1992-08-01,3.47,5.6,6.59,,,0
1992-09-01,3.18,5.38,6.42,,,0
1992-10-01,3.3,5.6,6.59,,,0
1992-11-01,3.68,6.04,6.87,,,0
1992-12-01,3.71,6.08,6.77,,,0
1993-01-01,3.5,5.83,6.6,,,0
1993-02-01,3.39,5.43,6.26,,,0
1993-03-01,3.33,5.19,5.98,,,0
1993-04-01,3.24,5.13,5.97,,,0
1993-05-01,3.36,5.2,6.04,,,0
1993-06-01,3.54,5.22,5.96,,,0
1993-07-01,3.47,5.09,5.81,,,0
1993-08-01,3.44,5.03,5.68,,,0
1993-09-01,3.36,4.73,5.36,,,0
1993-10-01,3.39,4.71,5.33,,,0
1993-11-01,3.58,5.06,5.72,,,0
1993-12-01,3.61,5.15,5.77,,,0
1994-01-01,3.54,5.09,5.75,,,0
1994-02-01,3.87,5.4,5.97,,,0
1994-03-01,4.32,5.94,6.48,,,0
1994-04-01,4.82,6.52,6.97,,,0
1994-05-01,5.31,6.78,7.18,,,0
1994-06-01,5.27,6.7,7.1,,,0
1994-07-01,5.48,6.91,7.3,,,0
1994-08-01,5.56,6.88,7.24,,,0
1994-09-01,5.76,7.08,7.46,,,0
1994-10-01,6.11,7.4,7.74,,,0
1994-11-01,6.54,7.72,7.96,,,0
1994-12-01,7.14,7.78,7.81,,,0
1995-01-01,7.05,7.76,7.78,,,0
1995-02-01,6.7,7.37,7.47,,,0
1995-03-01,6.43,7.05,7.2,,,0
1995-04-01,6.27,6.86,7.06,,,0
1995-05-01,6.0,6.41,6.63,,,0
1995-06-01,5.64,5.93,6.17,,,0
1995-07-01,5.59,6.01,6.28,,,0
1995-08-01,5.75,6.24,6.49,,,0
1995-09-01,5.62,6.0,6.2,,,0
1995-10-01,5.59,5.86,6.04,,,0
1995-11-01,5.43,5.69,5.93,,,0
1995-12-01,5.31,5.51,5.71,,,0
1996-01-01,5.09,5.36,5.65,,,0
1996-02-01,4.94,5.38,5.81,,,0
1996-03-01,5.34,5.97,6.27,,,0
1996-04-01,5.54,6.3,6.51,,,0
1996-05-01,5.64,6.48,6.74,,,0
1996-06-01,5.81,6.69,6.91,,,0
1996-07-01,5.85,6.64,6.87,,,0
1996-08-01,5.67,6.39,6.64,,,0
1996-09-01,5.83,6.6,6.83,,,0
1996-10-01,5.55,6.27,6.53,,,0
1996-11-01,5.42,5.97,6.2,,,0
1996-12-01,5.47,6.07,6.3,,,0
1997-01-01,5.61,6.33,6.58,,,0
1997-02-01,5.53,6.2,6.42,,,0
1997-03-01,5.8,6.54,6.69,,,0
1997-04-01,5.99,6.76,6.89,,,0
1997-05-01,5.87,6.57,6.71,,,0
1997-06-01,5.69,6.38,6.49,,,0
1997-07-01,5.54,6.12,6.22,,,0
1997-08-01,5.56,6.16,6.3,,,0
1997-09-01,5.52,6.11,6.21,,,0
1997-10-01,5.46,5.93,6.03,,,0
1997-11-01,5.46,5.8,5.88,,,0
1997-12-01,5.53,5.77,5.81,,,0
1998-01-01,5.24,5.42,5.54,,,0
1998-02-01,5.31,5.49,5.57,,,0
1998-03-01,5.39,5.61,5.65,,,0
1998-04-01,5.38,5.61,5.64,,,0
1998-05-01,5.44,5.63,5.65,,,0
1998-06-01,5.41,5.52,5.5,,,0
1998-07-01,5.36,5.46,5.46,,,0
1998-08-01,5.21,5.27,5.34,,,0
1998-09-01,4.71,4.62,4.81,,,0
1998-10-01,4.12,4.18,4.53,,,0
1998-11-01,4.53,4.54,4.83,,,0
1998-12-01,4.52,4.45,4.65,,,0
1999-01-01,4.51,4.6,4.72,,,0
1999-02-01,4.7,4.91,5.0,,,0
1999-03-01,4.78,5.14,5.23,,,0
1999-04-01,4.69,5.08,5.18,,,0
1999-05-01,4.85,5.44,5.54,,,0
1999-06-01,5.1,5.81,5.9,,,0
1999-07-01,5.03,5.68,5.79,,,0
1999-08-01,5.2,5.84,5.94,,,0
1999-09-01,5.25,5.8,5.92,,,0
1999-10-01,5.43,6.03,6.11,,,0
1999-11-01,5.55,5.97,6.03,,,0
1999-12-01,5.84,6.19,6.28,,,0
2000-01-01,6.12,6.58,6.66,,,0
2000-02-01,6.22,6.68,6.52,,,0
2000-03-01,6.22,6.5,6.26,,,0
2000-04-01,6.15,6.26,5.99,,,0
2000-05-01,6.33,6.69,6.44,,,0
2000-06-01,6.17,6.3,6.1,,,0
2000-07-01,6.08,6.18,6.05,,,0
2000-08-01,6.18,6.06,5.83,,,0
2000-09-01,6.13,5.93,5.8,,,0
2000-10-01,6.01,5.78,5.74,,,0
2000-11-01,6.09,5.7,5.72,,,0
2000-12-01,5.6,5.17,5.24,,,0
2001-01-01,4.81,4.86,5.16,,,0
2001-02-01,4.68,4.89,5.1,,,0
2001-03-01,4.3,4.64,4.89,,,0
2001-04-01,3.98,4.76,5.14,,,1
2001-05-01,3.78,4.93,5.39,,,1
2001-06-01,3.58,4.81,5.28,,,1
2001-07-01,3.62,4.76,5.24,,,1
2001-08-01,3.47,4.57,4.97,,,1
2001-09-01,2.82,4.12,4.73,,,1
2001-10-01,2.33,3.91,4.57,,,1
2001-11-01,2.18,3.97,4.65,,,1
2001-12-01,2.22,4.39,5.09,,,0
2002-01-01,2.16,4.34,5.04,,,0
2002-02-01,2.23,4.3,4.91,,,0
2002-03-01,2.57,4.74,5.28,,,0
2002-04-01,2.48,4.65,5.21,,,0
2002-05-01,2.35,4.49,5.16,,,0
2002-06-01,2.2,4.19,4.93,,,0
2002-07-01,1.96,3.81,4.65,,,0
2002-08-01,1.76,3.29,4.26,,,0
2002-09-01,1.72,2.94,3.87,,,0
2002-10-01,1.65,2.95,3.94,,,0
2002-11-01,1.49,3.05,4.05,,,0
2002-12-01,1.45,3.03,4.03,,,0
2003-01-01,1.36,3.05,4.05,1.65,2.29,0
2003-02-01,1.3,2.9,3.9,1.24,1.99,0
2003-03-01,1.24,2.78,3.81,1.09,1.94,0
2003-04-01,1.27,2.93,3.96,1.36,2.18,0
2003-05-01,1.18,2.52,3.57,1.18,1.91,0
2003-06-01,1.01,2.27,3.33,0.91,1.72,0
2003-07-01,1.12,2.87,3.98,1.3,2.11,0
